frame,id_tracking_easy,tipo_objeto_easy,confianza_easy,x1,y1,x2,y2,texto_matricula_easy,id_tracking_tess,tipo_objeto_tess,confianza_tess,texto_matricula_tess,similitud
1683,,matricula,0.6379655003547668,1554,502,1673,539,435tT7,,matricula,0.6379655003547668,,0.0
1683,,matricula,0.3846884071826935,1549,497,1675,546,,,matricula,0.3846884071826935,,1.0
1684,,matricula,0.7216284871101379,1579,507,1700,548,sIX,,matricula,0.7216284871101379,,0.0
1684,,matricula,0.3111193776130676,1575,498,1706,553,,,matricula,0.3111193776130676,,1.0
1685,,matricula,0.722835123538971,1614,521,1735,559,SI%,,matricula,0.722835123538971,,0.0
1686,,matricula,0.6954877376556396,1642,527,1769,570,#I,,matricula,0.6954877376556396,,0.0
1687,,matricula,0.65687495470047,1675,533,1815,590,{TE,,matricula,0.65687495470047,,0.0
1688,,matricula,0.6255254745483398,1713,550,1851,598,,,matricula,0.6255254745483398,,1.0
1689,,matricula,0.6546525359153748,1759,565,1911,623,,,matricula,0.6546525359153748,,1.0
1689,,matricula,0.4595251679420471,1758,559,1918,641,,,matricula,0.4595251679420471,,1.0
1690,,matricula,0.6835908889770508,1810,580,1920,631,,,matricula,0.6835908889770508,,1.0
1691,,matricula,0.6513527035713196,1862,598,1918,648,,,matricula,0.6513527035713196,,1.0
1691,,matricula,0.3070368468761444,1865,596,1920,661,,,matricula,0.3070368468761444,,1.0
1710,,matricula,0.4358309507369995,840,403,915,435,33STY,,matricula,0.4358309507369995,,0.0
1711,,matricula,0.4775870442390442,826,407,903,434,Ss91TY,,matricula,0.4775870442390442,,0.0
1712,,matricula,0.5760012269020081,811,407,891,436,2T,,matricula,0.5760012269020081,,0.0
1713,,matricula,0.585368275642395,785,415,874,440,Pl@T139,,matricula,0.585368275642395,,0.0
1714,,matricula,0.6110667586326599,763,421,856,443,3TTö;,,matricula,0.6110667586326599,,0.0
1715,,matricula,0.4366436004638672,742,426,842,456,@ñ,,matricula,0.4366436004638672,,0.0
1716,,matricula,0.6514425873756409,716,428,813,460,9=3=s2222T7,,matricula,0.6514425873756409,,0.0
1717,,matricula,0.5645650625228882,691,434,795,464,E507,,matricula,0.5645650625228882,,0.0
1718,,matricula,0.708905041217804,663,443,763,471,25231,,matricula,0.708905041217804,,0.0
1718,,matricula,0.4595218300819397,658,440,766,477,,,matricula,0.4595218300819397,,1.0
1719,,matricula,0.7232196927070618,631,452,743,487,52227,,matricula,0.7232196927070618,,0.0
1720,,matricula,0.7211955189704895,589,456,704,492,1221,,matricula,0.7211955189704895,,0.0
1721,,matricula,0.7093867063522339,543,464,666,502,E27,,matricula,0.7093867063522339,,0.0
1722,,matricula,0.669192373752594,503,476,629,516,223,,matricula,0.669192373752594,,0.0
1723,,matricula,0.6598917841911316,450,485,582,528,,,matricula,0.6598917841911316,,1.0
1724,,matricula,0.6723924279212952,385,500,530,546,,,matricula,0.6723924279212952,,1.0
1725,,matricula,0.6162062287330627,320,515,473,568,,,matricula,0.6162062287330627,,1.0
1726,,matricula,0.654075562953949,227,529,394,593,,,matricula,0.654075562953949,,1.0
1727,,matricula,0.310520589351654,128,556,302,609,,,matricula,0.310520589351654,,1.0
1786,,matricula,0.4666599929332733,872,411,960,440,18536TJ,,matricula,0.4666599929332733,I,0.0
1791,,matricula,0.4561372101306915,809,429,900,460,1553607,,matricula,0.4561372101306915,,0.0
1792,,matricula,0.6748327612876892,782,431,889,464,1E536L7,,matricula,0.6748327612876892,ERAN,0.18181818181818182
1793,,matricula,0.7068923711776733,767,433,869,470,E2D,,matricula,0.7068923711776733,838LKIT,0.0
1794,,matricula,0.3932441771030426,756,439,850,470,1580,,matricula,0.3932441771030426,NESZ6LKIT,0.0
1795,,matricula,0.6677006483078003,738,444,836,482,1325T,,matricula,0.6677006483078003,,0.0
1795,,matricula,0.3261316120624542,734,435,841,488,,,matricula,0.3261316120624542,LI,0.0
1796,,matricula,0.7584896683692932,705,452,815,487,"""E554.",,matricula,0.7584896683692932,,0.0
1796,,matricula,0.3818022012710571,713,437,824,493,,,matricula,0.3818022012710571,,1.0
1797,,matricula,0.8361788988113403,684,457,788,494,253857,,matricula,0.8361788988113403,,0.0
1798,,matricula,0.6757163405418396,653,458,767,497,55DT,,matricula,0.6757163405418396,,0.0
1799,,matricula,0.7043254375457764,632,470,744,509,2330I,,matricula,0.7043254375457764,,0.0
1800,,matricula,0.7545439004898071,603,478,717,516,332555),,matricula,0.7545439004898071,,0.0
1801,,matricula,0.6850690841674805,563,483,689,525,?85,,matricula,0.6850690841674805,,0.0
1802,,matricula,0.7423571944236755,530,500,648,536,335,,matricula,0.7423571944236755,,0.0
1802,,matricula,0.3421820104122162,531,495,659,543,,,matricula,0.3421820104122162,,1.0
1803,,matricula,0.6879345178604126,472,506,620,548,335,,matricula,0.6879345178604126,,0.0
1804,,matricula,0.6691117286682129,438,520,572,560,'24,,matricula,0.6691117286682129,,0.0
1805,,matricula,0.6269373297691345,373,529,530,583,44,,matricula,0.6269373297691345,,0.0
1806,,matricula,0.6648123860359192,314,549,477,596,31,,matricula,0.6648123860359192,,0.0
1807,,matricula,0.7103369832038879,249,560,415,621,,,matricula,0.7103369832038879,,1.0
1808,,matricula,0.6913045048713684,174,579,351,645,,,matricula,0.6913045048713684,,1.0
1809,,matricula,0.6695325970649719,75,592,267,673,,,matricula,0.6695325970649719,,1.0
1821,,matricula,0.3292844593524933,1,150,565,1019,,,matricula,0.3292844593524933,,1.0
1899,,matricula,0.2540561556816101,1867,477,1920,553,,,matricula,0.2540561556816101,,1.0
1910,,matricula,0.3263666033744812,1746,423,1821,445,2222,,matricula,0.3263666033744812,,0.0
1919,,matricula,0.6462145447731018,878,407,967,438,'3ESSLR,,matricula,0.6462145447731018,,0.0
1920,,matricula,0.6541641354560852,871,410,946,438,'1,,matricula,0.6541641354560852,,0.0
1920,,matricula,0.3356415927410126,860,409,960,441,,,matricula,0.3356415927410126,,1.0
1921,,matricula,0.6752266883850098,856,415,932,442,3E5817,,matricula,0.6752266883850098,,0.0
1922,,matricula,0.628459095954895,833,419,919,448,4221,,matricula,0.628459095954895,,0.0
1923,,matricula,0.3372160196304321,818,426,884,447,4651),,matricula,0.3372160196304321,,0.0
1924,,matricula,0.5764862895011902,786,431,891,469,4855D3,,matricula,0.5764862895011902,,0.0
1924,,matricula,0.452111154794693,795,428,885,462,,,matricula,0.452111154794693,,1.0
1925,,matricula,0.7057070136070251,770,434,868,470,5327a,,matricula,0.7057070136070251,,0.25
1926,,matricula,0.7555766105651855,749,438,846,472,228,,matricula,0.7555766105651855,,0.0
