fotograma,tipo_objeto,confianza,id_tracking,x1,y1,x2,y2,matricula_en_su_caso,conf_matricula,mx1,my1,mx2,my2,texto_matricula
68,matricula,0.8813864588737488,68,1435,839,1605,886,True,0.8813864588737488,1435,839,1605,886,"Kad7KMa,98_"
68,matricula,0.4267168343067169,68,1857,420,1920,481,True,0.4267168343067169,1857,420,1920,481,GTER
69,matricula,0.7114514708518982,69,1405,841,1576,884,True,0.7114514708518982,1405,841,1576,884,40 7KH4D98'
69,matricula,0.35585764050483704,69,1857,422,1920,481,True,0.35585764050483704,1857,422,1920,481,GTER
70,matricula,0.8673256635665894,70,1379,840,1543,883,True,0.8673256635665894,1379,840,1543,883,KAO7RH4498'
71,matricula,0.470344215631485,71,1356,842,1521,882,True,0.470344215631485,1356,842,1521,882,KAoRMaDge_
71,matricula,0.2512910068035126,71,1858,427,1920,484,True,0.2512910068035126,1858,427,1920,484,FETER
72,matricula,0.8898356556892395,72,1333,838,1489,879,True,0.8898356556892395,1333,838,1489,879,Kaothh4498
72,matricula,0.3290345370769501,72,1858,430,1920,484,True,0.3290345370769501,1858,430,1920,484,PTER
73,matricula,0.6671024560928345,73,1310,838,1462,878,True,0.6671024560928345,1310,838,1462,878,K1o1nwag8
73,matricula,0.4219709038734436,73,1858,431,1920,484,True,0.4219709038734436,1858,431,1920,484,PETER
74,matricula,0.7780259847640991,74,1290,837,1436,877,True,0.7780259847640991,1290,837,1436,877,K1n1m44098
74,matricula,0.46054524183273315,74,1858,430,1920,485,True,0.46054524183273315,1858,430,1920,485,RTER
75,matricula,0.6219308972358704,75,1270,837,1414,876,True,0.6219308972358704,1270,837,1414,876,Kao 7RHAA98
75,matricula,0.44872093200683594,75,1858,431,1920,485,True,0.44872093200683594,1858,431,1920,485,PTER
76,matricula,0.8390079736709595,76,1249,837,1390,874,True,0.8390079736709595,1249,837,1390,874,Kao7auag98
76,matricula,0.4137248992919922,76,1858,428,1920,485,True,0.4137248992919922,1858,428,1920,485,PTER
77,matricula,0.8813367486000061,77,1235,837,1376,873,True,0.8813367486000061,1235,837,1376,873,Kaotnwa498
77,matricula,0.4429086446762085,77,1858,430,1920,485,True,0.4429086446762085,1858,430,1920,485,GTER
78,matricula,0.8329240679740906,78,1213,836,1353,871,True,0.8329240679740906,1213,836,1353,871,Kao7nwa498
78,matricula,0.3764670789241791,78,1858,432,1920,484,True,0.3764670789241791,1858,432,1920,484,ETER
79,matricula,0.7640560269355774,79,1198,835,1332,870,True,0.7640560269355774,1198,835,1332,870,Kao7r4a498
79,matricula,0.40011271834373474,79,1858,431,1920,485,True,0.40011271834373474,1858,431,1920,485,@TER
80,matricula,0.7181938886642456,80,1182,833,1313,868,True,0.7181938886642456,1182,833,1313,868,411m4433
80,matricula,0.35699278116226196,80,1858,431,1920,484,True,0.35699278116226196,1858,431,1920,484,GTER
81,matricula,0.8083233833312988,81,1165,829,1296,866,True,0.8083233833312988,1165,829,1296,866,{1074'11!}3
81,matricula,0.307895690202713,81,1858,427,1920,483,True,0.307895690202713,1858,427,1920,483,RTER
82,matricula,0.5133643746376038,82,1153,828,1281,864,True,0.5133643746376038,1153,828,1281,864,41'77*1 ! ) ?
82,matricula,0.2736225426197052,82,1858,425,1920,483,True,0.2736225426197052,1858,425,1920,483,FTER
83,matricula,0.5523211359977722,83,1136,828,1263,864,True,0.5523211359977722,1136,828,1263,864,S4('1m4!13
83,matricula,0.2578907310962677,83,1857,424,1920,482,True,0.2578907310962677,1857,424,1920,482,PTER
84,matricula,0.5622680187225342,84,1125,828,1245,863,True,0.5622680187225342,1125,828,1245,863,KArin4143
85,matricula,0.5578991770744324,85,1110,827,1232,863,True,0.5578991770744324,1110,827,1232,863,Xaf 1M44413
86,matricula,0.582408607006073,86,1095,828,1215,862,True,0.582408607006073,1095,828,1215,862,K4f 1M444912
86,matricula,0.2611347436904907,86,634,883,674,905,True,0.2611347436904907,634,883,674,905,
87,matricula,0.5536495447158813,87,1083,827,1205,862,True,0.5536495447158813,1083,827,1205,862,Usfmva 
88,matricula,0.4999809265136719,88,1071,827,1190,860,True,0.4999809265136719,1071,827,1190,860,Kan 74w4493
88,matricula,0.38030099868774414,88,1857,419,1920,483,True,0.38030099868774414,1857,419,1920,483,RTER
89,matricula,0.5284671187400818,89,1060,826,1180,860,True,0.5284671187400818,1060,826,1180,860,Xaf7kwa!99
89,matricula,0.489611953496933,89,1856,417,1920,482,True,0.489611953496933,1856,417,1920,482,PTER
90,matricula,0.694344162940979,90,1050,823,1165,858,True,0.694344162940979,1050,823,1165,858,"f mMva"""
90,matricula,0.5409380793571472,90,1856,417,1920,483,True,0.5409380793571472,1856,417,1920,483,RTER
91,matricula,0.5847607851028442,91,1037,823,1152,857,True,0.5847607851028442,1037,823,1152,857,4444 499
91,matricula,0.4918782711029053,91,1856,417,1919,484,True,0.4918782711029053,1856,417,1919,484,PTER
92,matricula,0.5450795292854309,92,1025,824,1142,856,True,0.5450795292854309,1025,824,1142,856,Kaf 1M6a !98
93,matricula,0.6537899971008301,93,1018,820,1132,857,True,0.6537899971008301,1018,820,1132,857,Karomaw
94,matricula,0.6193516850471497,94,1008,821,1117,855,True,0.6193516850471497,1008,821,1117,855,Lar{KI4
